the cougars	bn:01345595n
11 minutes	bn:01949374n
six hours	
10 minutes	bn:02011026n,bn:14662443n,bn:16573674n
five hours	bn:17239530n
several hours	
three minutes	bn:03230643n
three hours	bn:01903774n
minute	bn:00055094n,bn:00005459n,bn:02872922n,bn:00046942n,bn:01819197n,bn:00044984n,bn:00055236n,bn:00010728n
six minutes	bn:14960053n
two hours	
four hours	
45 minutes	bn:02092776n
20 minutes	bn:03869017n,bn:03183805n
4 minutes	bn:00685452n,bn:03431120n
15 minutes	bn:02750566n,bn:00000031n,bn:02347370n,bn:02601577n,bn:02587049n,bn:14590101n,bn:17058914n
five minutes	bn:01552635n,bn:03720711n,bn:01705457n,bn:01656033n
5 minutes	bn:14059463n,bn:15890760n,bn:01705457n
ten minutes	bn:03357754n,bn:01020984n
four minutes	bn:01106037n
said in response	
made the announcement	
told afp	
expressed the hope	
told the associated press	
said in the interview	
promise	bn:00044738n,bn:15267365n,bn:02499963n,bn:00132151n,bn:01612871n,bn:00064699n,bn:02857677n,bn:03556673n,bn:02715110n,bn:03569742n,bn:01499536n,bn:02414152n,bn:01687039n,bn:00630222n,bn:00953316n,bn:03286375n,bn:00414258n,bn:01099548n,bn:01378170n,bn:00186277n,bn:10635107n,bn:00759015n
express	bn:02918961n,bn:15450599n,bn:16445086n,bn:01445437n,bn:01695841n,bn:03573850n,bn:03175791n,bn:14916079n,bn:03686967n,bn:00032389n,bn:00032387n,bn:02309378n,bn:03653158n,bn:00032388n,bn:00006386n
stressed the need	
told reporters tuesday	
told cnn	
said friday	
told reporters thursday	
said at the time	
issued a statement	
said earlier this month	
said thursday	
made the statement	
expressed optimism	
said earlier this week	
told lawmakers	
stress	bn:03624917n,bn:00074519n,bn:00074634n,bn:00074633n,bn:02131796n,bn:03057594n,bn:01976492n,bn:00156372n,bn:13805288n,bn:00035564n,bn:00000641n,bn:13823763n,bn:03466284n,bn:03837064n,bn:15380850n,bn:00062650n,bn:15884027n,bn:14661163n
took office	
expressed hope	
said in a statement	
told the bbc	
told parliament	
told reporters monday	
said in an interview	
wrote in a letter	
released a statement	
told journalists	
told reporters	
said yesterday	
held talks	
sent a message	
told the press	
pledge	bn:15059676n,bn:00062995n,bn:00060722n,bn:00062993n,bn:00062994n,bn:00006566n,bn:14091131n
said after the meeting	
sent a letter	
expressed confidence	
adam sandler	bn:00145722n
ferrell	bn:03323357n
sandler	bn:02383709n
stiller	bn:13696958n
ben stiller	bn:03792798n
kangaroo	bn:03053168n,bn:01220568n,bn:02016711n,bn:02492688n,bn:13879412n,bn:16037087n,bn:00667624n,bn:15539759n,bn:00737357n,bn:00048768n,bn:01839409n,bn:00629013n,bn:03216648n,bn:02026205n,bn:15583273n
pup	bn:00065247n,bn:00065248n,bn:14531429n
dragon	bn:00028532n,bn:11403070n,bn:03176209n,bn:00028582n,bn:03211311n,bn:00028584n,bn:14347345n,bn:02083376n,bn:02648338n,bn:15421933n,bn:00642791n,bn:03674362n,bn:03215390n,bn:03190676n,bn:13962873n,bn:03592472n,bn:03303628n,bn:13942816n,bn:03510541n,bn:00028583n,bn:01445447n,bn:14418472n,bn:03858309n,bn:02286670n,bn:03676836n,bn:02585072n,bn:03301745n,bn:13923781n,bn:17130956n,bn:03751046n,bn:03534705n,bn:14659148n,bn:03355417n,bn:02079184n,bn:00685011n,bn:03774110n,bn:00160910n,bn:03789420n,bn:01783801n
the whale	bn:11029567n,bn:15371413n,bn:03374727n,bn:17088205n,bn:00631444n,bn:03111068n
boar	bn:02131123n,bn:00011635n,bn:02388704n,bn:00078713n,bn:01018728n,bn:14934055n,bn:00011636n
primate	bn:00005457n,bn:01858487n,bn:00064379n,bn:00064403n
mule	bn:01201098n,bn:14216474n,bn:16609916n,bn:03250498n,bn:02732043n,bn:01708043n,bn:16383570n,bn:01295853n,bn:01576841n,bn:03150333n,bn:01493742n,bn:03299391n,bn:02126725n,bn:00056255n,bn:01439827n,bn:00056256n,bn:03703767n,bn:02138279n
kitten	bn:15174224n,bn:00049269n,bn:01663327n
camel	bn:14656124n,bn:00747353n,bn:15559002n,bn:00130352n,bn:02481738n,bn:00014993n,bn:00199674n,bn:01532713n,bn:00952539n
rhinoceros	bn:00067624n,bn:00829956n,bn:15872490n,bn:01891906n,bn:02406931n,bn:00256910n,bn:03891088n,bn:01380034n,bn:03430682n,bn:17339128n
ape	bn:14242583n,bn:14331618n,bn:03202065n,bn:17280797n,bn:00004847n,bn:00071669n,bn:00004848n,bn:00002995n,bn:00970066n,bn:00004578n
rabbit	bn:15188804n,bn:00042985n,bn:01062060n,bn:02525802n,bn:16693374n,bn:16703037n,bn:00766864n,bn:03775756n,bn:03756959n,bn:02535310n,bn:03600565n,bn:13850931n,bn:00549430n,bn:00021704n,bn:02882749n,bn:00942661n,bn:03218475n,bn:14347166n,bn:01629845n,bn:00049982n
rodent	bn:00040819n
dinosaur	bn:03140091n,bn:03626722n,bn:02457009n,bn:02167375n,bn:02922453n,bn:00205051n,bn:03813042n,bn:03757154n,bn:16025494n,bn:00027226n
skunk	bn:01918209n,bn:14601862n,bn:16249638n,bn:00013851n,bn:00345192n,bn:00071381n,bn:15526262n,bn:00028270n,bn:00063307n,bn:01231399n,bn:13962554n
pet	bn:00061788n,bn:00061787n,bn:01794186n,bn:00025256n,bn:03661532n,bn:00061789n,bn:02802979n,bn:02274740n,bn:00280224n
rattlesnake	bn:01447028n,bn:00059150n,bn:00425252n,bn:00066271n,bn:03476916n
python	bn:00279773n,bn:02533602n,bn:03489893n,bn:11120902n,bn:00065461n,bn:14645852n,bn:02368767n,bn:00065462n,bn:03501078n,bn:00033346n,bn:00065463n,bn:16322784n,bn:01713224n,bn:01157670n,bn:03270061n,bn:16032125n
rat	bn:00066217n,bn:00023119n,bn:14601862n,bn:02131263n,bn:00011033n,bn:02105258n,bn:03313818n,bn:15126701n,bn:00734564n,bn:00066218n,bn:01370046n,bn:00013851n,bn:00010150n,bn:00056119n,bn:01432550n
cattle	bn:00012273n
goat	bn:00015708n,bn:16004661n,bn:00015706n,bn:14601862n,bn:00992640n,bn:14343182n,bn:00015720n,bn:00014236n,bn:03195519n,bn:01596835n,bn:01016027n
tiger	bn:01489240n,bn:01791554n,bn:01414370n,bn:03542941n,bn:03871776n,bn:16470563n,bn:02544843n,bn:02095191n,bn:03202800n,bn:16260675n,bn:01767564n,bn:02937193n,bn:03874647n,bn:03501012n,bn:01446920n,bn:02459425n,bn:03700664n,bn:03297509n,bn:14021847n,bn:02131162n,bn:02088670n,bn:01850698n,bn:00077225n,bn:00050946n,bn:02484481n,bn:15896505n,bn:01478763n,bn:02377131n,bn:01288074n,bn:02070979n,bn:00060436n,bn:14382933n,bn:02808064n,bn:03874424n,bn:17045427n,bn:17079099n
lion	bn:15133112n,bn:02289345n,bn:00277892n,bn:00332146n,bn:02652345n,bn:03336942n,bn:02253474n,bn:02810551n,bn:01309360n,bn:16727406n,bn:03294261n,bn:02309699n,bn:00047148n,bn:02733724n,bn:00207827n,bn:03531377n,bn:00050693n,bn:03485422n,bn:00051429n,bn:14625163n,bn:00050691n,bn:02187326n,bn:00722039n,bn:00568030n,bn:01289274n,bn:00049156n,bn:14161492n,bn:03370901n
horse	bn:00042327n,bn:00013580n,bn:02131026n,bn:00044819n,bn:00031345n,bn:03377038n,bn:03291508n,bn:13818661n,bn:16269527n,bn:00016872n,bn:16348503n,bn:17255373n,bn:00705785n,bn:00299117n,bn:03344012n,bn:00013577n,bn:03588212n
cub	bn:15864701n,bn:03825828n,bn:03507460n,bn:00024245n,bn:00024244n,bn:00024243n,bn:03766496n
squirrel	bn:00948162n,bn:14601862n,bn:02182478n,bn:03083017n,bn:00073770n,bn:01679388n,bn:00225787n,bn:14524854n,bn:00610658n,bn:00073771n,bn:02047386n
leopard	bn:00050712n,bn:03541891n,bn:00050713n,bn:02845662n,bn:00716218n,bn:14608493n,bn:01276408n
wild boar	bn:00011635n,bn:00078713n,bn:01018728n,bn:14934055n
puppy	bn:00065247n,bn:01143907n,bn:00065248n,bn:14334921n,bn:16035381n,bn:00065261n,bn:15254129n,bn:00169552n
turkey	bn:00681373n,bn:00048391n,bn:16323623n,bn:00011919n,bn:00040870n,bn:00561950n,bn:00054243n,bn:00038657n,bn:00067236n,bn:00074670n,bn:00078638n
the cow	bn:03328090n
giraffe	bn:00015002n,bn:03669542n,bn:03825269n
coyote	bn:14050024n,bn:00023431n,bn:03065821n,bn:00023432n,bn:01281706n,bn:03371730n,bn:03345380n,bn:16790803n,bn:01068382n,bn:01307891n,bn:01271816n,bn:13975098n,bn:01484897n,bn:03078846n,bn:01841488n,bn:14584418n,bn:00013505n
animal	bn:02257562n,bn:03881525n,bn:16283771n,bn:01855007n,bn:15498572n,bn:03111584n,bn:03585222n,bn:02379433n,bn:02011795n,bn:03183477n,bn:00988932n,bn:03328519n,bn:16771295n,bn:10262724n,bn:03152823n,bn:01449978n,bn:03784893n,bn:03065991n,bn:03158184n,bn:15107271n,bn:15924559n,bn:03611431n,bn:03751894n,bn:02810386n,bn:03347173n,bn:03304543n,bn:00552876n,bn:01785935n,bn:01852296n,bn:03611291n,bn:01265481n,bn:00004222n
bull	bn:16329939n,bn:00013783n,bn:00013781n,bn:16573191n,bn:00013778n,bn:03840791n,bn:00012273n,bn:00013776n,bn:00013774n,bn:00013465n,bn:14073972n,bn:03386520n,bn:02178669n,bn:03462122n,bn:00013782n,bn:00013780n,bn:00013779n,bn:00013777n,bn:01299570n,bn:16753126n,bn:16984157n,bn:00013775n,bn:00663194n,bn:00524625n,bn:17151734n,bn:11263496n
dog	bn:00015267n,bn:00028039n,bn:17221039n,bn:03461854n,bn:02131177n,bn:16714146n,bn:00960609n,bn:00028041n,bn:03572333n,bn:00003955n,bn:16042752n,bn:03082162n,bn:09545876n,bn:02285691n,bn:03597626n,bn:03790973n,bn:00019757n,bn:02695459n,bn:00028040n,bn:03005278n,bn:00011025n,bn:14361121n,bn:02634655n,bn:00718916n,bn:01262627n,bn:00015259n
pony	bn:00023785n,bn:00048209n,bn:02091543n,bn:03211442n,bn:03580443n,bn:02562925n,bn:00133422n,bn:00063526n,bn:00063527n,bn:00063528n,bn:01788765n
alligator	bn:00002870n,bn:03273976n,bn:00408619n,bn:03797203n,bn:00002869n,bn:16451325n,bn:16998024n,bn:16775033n,bn:02622211n,bn:14733940n,bn:01487728n,bn:00893767n,bn:03811212n,bn:15683246n
hog	bn:00044360n,bn:03499510n,bn:00044359n,bn:00042006n
stallion	bn:00522745n,bn:00031345n,bn:01295233n,bn:00031023n
gazelle	bn:02905971n,bn:01113843n,bn:02304444n,bn:00906290n,bn:00037556n,bn:01456915n,bn:03152946n,bn:03477237n,bn:00201006n,bn:02581260n,bn:03864346n
otter	bn:02517952n,bn:16705894n,bn:00059722n,bn:00059723n,bn:14601862n,bn:00950202n,bn:03250673n,bn:02185228n,bn:02008567n,bn:00330659n
iguana	bn:00021106n,bn:01827279n,bn:01655220n
demon	bn:00026165n,bn:01378731n,bn:02967159n,bn:00015253n,bn:17104828n,bn:00390490n,bn:03085066n,bn:00215769n,bn:02456608n,bn:01573631n,bn:03205595n,bn:03701935n,bn:03545604n,bn:00009586n,bn:03222189n,bn:02264939n,bn:00026166n,bn:03292992n,bn:02790222n,bn:03723862n,bn:15513854n,bn:01905876n,bn:00024998n,bn:15755862n,bn:03135460n,bn:03186697n,bn:03091733n,bn:00002534n,bn:14960853n,bn:00910880n
shark	bn:15415043n,bn:03458566n,bn:03333186n,bn:00597387n,bn:00356798n,bn:16372699n,bn:00384993n,bn:09408038n,bn:00070920n,bn:00070921n,bn:01914306n,bn:00203190n,bn:00070919n,bn:03215020n,bn:17136676n,bn:03759662n,bn:01156538n,bn:01943764n,bn:03694565n,bn:16207502n
wolf	bn:00036532n,bn:01589170n,bn:00451641n,bn:01527627n,bn:03709569n,bn:02950952n,bn:03501012n,bn:00387235n,bn:02439018n,bn:00053630n,bn:00015268n,bn:01259976n,bn:03535160n,bn:16505832n,bn:14676212n,bn:16988372n,bn:00045139n,bn:01127736n,bn:01243577n,bn:14035385n,bn:00009390n,bn:00081469n,bn:02658087n,bn:00579374n,bn:00439130n,bn:03342530n,bn:02589657n,bn:15876467n,bn:03531362n,bn:16348555n,bn:03759377n,bn:01917364n,bn:00374951n,bn:00179341n,bn:02577298n,bn:03465039n
the dog	bn:03291898n,bn:01379900n,bn:01154789n,bn:01487473n,bn:00232943n
hound	bn:00011025n,bn:16693341n,bn:00044981n,bn:01032984n
fowl	bn:15882725n,bn:00028155n,bn:00010606n
giant pandas	bn:00002174n
monster	bn:00026165n,bn:01315839n,bn:02017860n,bn:00036308n,bn:02035736n,bn:00354699n,bn:03106840n,bn:01018189n,bn:02124744n,bn:02626762n,bn:02269019n,bn:01711527n,bn:03320963n,bn:03486729n,bn:03460240n,bn:03749157n,bn:00009663n,bn:02545498n,bn:01712479n,bn:02642678n,bn:01417769n,bn:15124078n,bn:03416231n,bn:01139652n,bn:00747633n,bn:03358739n,bn:02242723n,bn:14220105n,bn:00593588n,bn:01348195n,bn:00906335n,bn:03369222n,bn:01491556n,bn:03013517n,bn:03276032n,bn:01010576n,bn:02147166n,bn:16983846n,bn:00055775n,bn:01103716n,bn:03197340n,bn:02121119n,bn:01754148n,bn:00708171n,bn:16981511n,bn:00580305n,bn:03407025n,bn:00228690n,bn:02072138n,bn:03887079n,bn:15046750n,bn:01895839n,bn:00055776n,bn:02269422n,bn:01718273n,bn:03557475n,bn:16391717n,bn:17064349n
species	bn:03735845n,bn:13817551n,bn:02504126n,bn:03633736n,bn:00073211n,bn:00073210n,bn:03548312n
calf	bn:00014717n,bn:00014719n,bn:00014718n,bn:00014720n,bn:01628985n
fish	bn:00034586n,bn:02303252n,bn:00984503n,bn:02675472n,bn:15078968n,bn:00040840n,bn:03375627n,bn:01504485n,bn:02574741n,bn:16785064n,bn:16028560n,bn:00035660n,bn:00034819n,bn:00034818n,bn:00034817n,bn:00062612n,bn:00034816n,bn:16027624n,bn:00930285n,bn:00474638n,bn:14562104n,bn:03454324n,bn:01151320n
peacock	bn:02909839n,bn:00660566n,bn:15648185n,bn:00010632n,bn:02032661n,bn:01140323n,bn:02231583n,bn:00996346n,bn:00061173n,bn:00740218n,bn:03377089n,bn:00046221n
bison	bn:03874843n,bn:01843428n,bn:01699135n,bn:00550622n,bn:03103985n,bn:00277774n,bn:00010720n,bn:03326462n,bn:03391492n,bn:02816184n,bn:03601653n,bn:00003357n
penguin	bn:02471281n,bn:02893606n,bn:03598279n,bn:03638386n,bn:01989627n,bn:00527451n,bn:02462271n,bn:03353319n,bn:03821214n,bn:00899329n,bn:00061362n
panda	bn:03445588n,bn:00002177n,bn:16794217n,bn:15417033n,bn:00002174n,bn:02179062n,bn:02414200n,bn:01794969n
monkey	bn:15409009n,bn:00046063n,bn:03345344n,bn:00055685n,bn:01204395n,bn:02131227n,bn:02799103n,bn:15586454n,bn:00355636n,bn:00071669n,bn:02363694n,bn:01610649n,bn:03783607n,bn:01683382n,bn:15010220n
rhino	bn:03787465n,bn:00067624n,bn:02512869n,bn:16756418n,bn:03106433n,bn:02444804n,bn:02805601n,bn:00239294n
fauna	bn:00499559n,bn:03589026n,bn:00033822n,bn:00004222n,bn:02493210n
cow	bn:01927156n,bn:01206608n,bn:16607956n,bn:00012273n,bn:02210198n,bn:00023383n,bn:16778121n,bn:03186868n,bn:00023381n,bn:00023382n
reptile	bn:00204084n,bn:03417748n,bn:02979830n,bn:15201436n,bn:00067220n,bn:00971178n
wild animals	bn:00081220n,bn:15239260n,bn:01016482n,bn:02944522n,bn:16783908n
pig	bn:02179331n,bn:02131123n,bn:01948958n,bn:00883135n,bn:03712775n,bn:00065131n,bn:00864935n,bn:00042006n,bn:03438311n,bn:03819658n,bn:02697976n,bn:00073025n,bn:00062345n,bn:02684605n,bn:00062343n,bn:00075587n,bn:00063606n,bn:03273741n,bn:00273525n,bn:00749537n,bn:00044359n,bn:01574006n,bn:01838313n,bn:00013777n,bn:00062344n,bn:02303645n,bn:00062354n,bn:15750674n
skeleton	bn:03450629n,bn:00071917n,bn:00071916n,bn:03851410n,bn:16511501n,bn:01052277n,bn:00036189n,bn:03484672n,bn:02943023n,bn:00835643n,bn:03318735n,bn:00502856n,bn:00036188n,bn:02341174n,bn:01988120n
mouse	bn:00056120n,bn:00010892n,bn:00021487n,bn:00277032n,bn:02131263n,bn:01829516n,bn:15277358n,bn:01189207n,bn:15126701n,bn:00416785n,bn:03795748n,bn:03092726n,bn:14338157n,bn:15053146n,bn:16369318n,bn:00056119n,bn:02372216n,bn:03482002n,bn:03443075n,bn:03389543n
whale	bn:03320238n,bn:00795838n,bn:02532727n,bn:00040388n,bn:01465167n,bn:00044081n,bn:01155725n,bn:00080949n,bn:01985098n
frog	bn:00004795n,bn:00036614n,bn:00036615n,bn:03103877n,bn:03222576n,bn:15016511n,bn:00016196n,bn:03306767n,bn:01293632n,bn:03086870n,bn:00269894n,bn:00517023n,bn:03512584n,bn:14479066n
bird	bn:16105049n,bn:01714543n,bn:03512314n,bn:01402839n,bn:00007631n,bn:00010605n,bn:15076844n,bn:14167012n,bn:00001697n,bn:00010608n,bn:14643603n,bn:00010609n,bn:00010606n,bn:13889760n,bn:00010607n,bn:15076963n,bn:16750414n,bn:03522670n,bn:01704609n,bn:02439275n,bn:14856258n
porpoise	bn:17268846n,bn:00063636n
livestock	bn:01884668n,bn:00033678n,bn:02573696n,bn:01194481n,bn:01925119n
insect	bn:00046870n,bn:00027389n,bn:00006081n
serpent	bn:02131189n,bn:01993100n,bn:00059150n,bn:00008924n,bn:03103655n,bn:03762681n,bn:03077869n,bn:01291972n,bn:16850246n,bn:02997293n,bn:00070629n,bn:02870068n,bn:00070628n,bn:00155286n,bn:03411625n
beaver	bn:00009454n,bn:00176518n,bn:00009456n,bn:01973324n,bn:14085773n,bn:01828829n,bn:00009450n,bn:00009452n,bn:03817019n,bn:02364075n,bn:00486181n,bn:00500766n,bn:01913012n,bn:01110467n,bn:00571476n,bn:00599100n,bn:00489857n,bn:00009453n,bn:00471021n,bn:00009455n,bn:00504962n,bn:14867270n,bn:00590509n,bn:00012308n,bn:00252868n,bn:00009451n,bn:00187363n,bn:02179537n,bn:14010992n
the sheep	bn:01438278n
dolphin	bn:00796496n,bn:03631596n,bn:00028133n,bn:00028132n,bn:02030927n,bn:00384993n,bn:00646913n,bn:01717638n,bn:02525088n,bn:02812118n,bn:00894138n,bn:03523924n,bn:03884591n,bn:15868482n,bn:02733010n
turtle	bn:15000998n,bn:00602273n,bn:02250222n,bn:02907256n,bn:03794274n,bn:03156178n,bn:00078701n,bn:00063388n,bn:03536090n,bn:15425196n,bn:00173338n,bn:03523660n,bn:03099552n,bn:14865307n
elk	bn:02336652n,bn:00601607n,bn:02674677n,bn:01840743n,bn:03540154n,bn:00003392n,bn:00003393n,bn:00002512n,bn:03769164n,bn:02513327n,bn:00415733n,bn:16826327n
sea turtles	bn:00053433n
giant panda	bn:00002174n,bn:03139913n
the horse	bn:01827493n,bn:15574082n
the horses	bn:02378926n
elephant	bn:16904653n,bn:02454362n,bn:01655975n,bn:00030314n,bn:03425004n,bn:00030315n,bn:00319144n,bn:02311228n,bn:17362002n,bn:03377049n,bn:13842338n,bn:00805073n
creature	bn:13916097n,bn:00023662n,bn:02552775n,bn:01010033n,bn:02579204n,bn:02090167n,bn:15883227n,bn:00004222n,bn:00023661n,bn:17078531n,bn:01307116n
deer	bn:00017393n,bn:01594521n,bn:03306425n,bn:01594518n
the animals	bn:14410905n,bn:00118348n,bn:03644431n,bn:00667435n
crocodile	bn:02180906n,bn:03314732n,bn:13997660n,bn:00023894n,bn:00382214n,bn:00023901n,bn:01384624n,bn:03380917n,bn:13991551n
snake	bn:02131189n,bn:03082986n,bn:00880059n,bn:00072378n,bn:14330281n,bn:00072379n,bn:00059150n,bn:14601862n,bn:00072377n,bn:03212218n,bn:00422945n,bn:01603996n,bn:00045336n,bn:13927564n,bn:01908133n
donkey	bn:00916532n,bn:01037972n,bn:02216705n,bn:00028152n,bn:00006452n,bn:00028228n
the cattle	bn:00380602n
salamander	bn:00068913n,bn:16262551n,bn:03230665n,bn:14578827n,bn:00034653n,bn:03262338n,bn:02020814n,bn:03766321n,bn:03697493n,bn:00068912n,bn:03151116n,bn:03521549n,bn:02557022n,bn:02583281n
beast	bn:03061057n,bn:01138249n,bn:15434180n,bn:13881478n,bn:14567664n,bn:01821477n,bn:01926076n,bn:01285916n,bn:16201454n,bn:14570111n,bn:15244828n,bn:02329218n,bn:16899988n,bn:03238162n,bn:03200642n,bn:01045193n,bn:01812763n,bn:00009390n,bn:15321645n,bn:00451414n,bn:02142859n,bn:01135670n,bn:01659481n,bn:00004222n,bn:03114793n,bn:01084532n
fox	bn:00017860n,bn:00173808n,bn:03292684n,bn:16261927n,bn:14976165n,bn:01777484n,bn:03220667n,bn:02332030n,bn:00537319n,bn:01154548n,bn:00036133n,bn:00036129n,bn:02895887n,bn:00279270n,bn:03336166n,bn:15179854n,bn:02365658n,bn:00900443n,bn:00036132n,bn:15042072n,bn:00066667n,bn:03227740n,bn:02698916n,bn:00994833n,bn:01758279n,bn:16037595n,bn:02907488n,bn:13840845n,bn:02692695n,bn:01130535n,bn:03484544n,bn:00036131n,bn:01808456n,bn:00382891n,bn:14267546n,bn:00995680n,bn:02813916n,bn:02732094n,bn:01337816n,bn:02459631n,bn:00028030n,bn:02247711n,bn:02406101n,bn:01102432n,bn:00036130n,bn:03231851n,bn:01904178n,bn:15518297n,bn:01718855n,bn:01733133n
tortoise	bn:00077694n,bn:01378832n,bn:00301386n,bn:02691973n
mammal	bn:00053079n,bn:00969679n,bn:17151826n,bn:01185739n
cat	bn:01739170n,bn:00516031n,bn:09370384n,bn:14601862n,bn:00016608n,bn:00016609n,bn:00010309n,bn:00016606n,bn:00016607n,bn:00840476n,bn:00001844n,bn:00016644n,bn:03124841n,bn:14452370n,bn:02081887n,bn:00016610n,bn:03493520n,bn:01503037n,bn:00016741n,bn:03617868n,bn:00482617n,bn:00012592n,bn:00054399n,bn:15531094n
colt	bn:00020790n,bn:02154308n,bn:14675959n,bn:00191317n,bn:16375731n,bn:00242751n,bn:02347306n,bn:00020791n,bn:14385790n
hare	bn:00042984n,bn:02520067n,bn:00042985n,bn:01764887n,bn:02656451n,bn:15501912n,bn:14347166n,bn:14450993n
lizard	bn:00059401n,bn:01690816n,bn:03873445n,bn:02679251n,bn:00051655n,bn:14660918n,bn:00573405n,bn:02063761n,bn:02279048n,bn:00051656n
the dogs	bn:16645341n,bn:01333776n,bn:00332865n
sheep	bn:02085872n,bn:02354970n,bn:00040452n,bn:00056150n,bn:00012957n,bn:00024624n,bn:00070967n,bn:03304595n,bn:01438278n,bn:00070968n,bn:00070969n,bn:03291460n,bn:01934589n,bn:14343182n,bn:02043869n,bn:03270795n,bn:00049760n
wildlife	bn:00081220n,bn:01964231n,bn:02640050n,bn:01614880n,bn:01211663n,bn:02478231n,bn:00463256n,bn:00951173n,bn:02586322n
herd	bn:00043801n,bn:00043803n,bn:00043802n,bn:14437480n,bn:02831791n
zebra	bn:01754906n,bn:03792826n,bn:02502493n,bn:03106464n,bn:01938128n,bn:00470862n,bn:14935479n,bn:00082013n,bn:15696209n,bn:01607338n,bn:01588141n,bn:02402165n,bn:02616658n,bn:16817602n,bn:03370337n
gorilla	bn:01668293n,bn:03233592n,bn:03230094n,bn:00620930n,bn:00041140n,bn:16759623n,bn:03841154n
poultry	bn:02790281n,bn:00028155n,bn:00063907n,bn:16960745n
chimp	bn:00018424n
antelope	bn:00695928n,bn:03595264n,bn:15904233n,bn:03300014n,bn:02413692n,bn:03594963n,bn:00551141n,bn:00389195n,bn:03266528n,bn:03863956n,bn:00004498n,bn:03465039n
predator	bn:00053336n,bn:00064103n,bn:03402982n,bn:03085137n,bn:03649210n,bn:03636134n,bn:15812777n,bn:02844600n,bn:00064932n,bn:02109696n,bn:00706247n,bn:03306454n,bn:00001582n,bn:03617617n,bn:03627521n,bn:01616897n,bn:03627503n
buffalo	bn:00268684n,bn:15932674n,bn:00241838n,bn:00592312n,bn:03742363n,bn:00607248n,bn:00464514n,bn:00492622n,bn:00003357n,bn:02877532n,bn:00013653n,bn:03742366n,bn:00013655n,bn:00279006n,bn:03123885n,bn:00549367n,bn:16576863n,bn:00564932n,bn:03108464n,bn:01727870n,bn:15068915n,bn:15820388n,bn:15094303n,bn:00369377n,bn:00590414n,bn:01023196n,bn:01236304n,bn:00013654n,bn:03860050n,bn:02073056n,bn:03134605n,bn:00376297n,bn:00547123n
toad	bn:03180838n,bn:00004795n,bn:02610619n,bn:15119854n,bn:01309197n,bn:00784362n,bn:00813518n,bn:03222576n,bn:01769840n,bn:02996879n,bn:03173699n,bn:01310696n
ox	bn:03639140n,bn:03504330n,bn:03439178n,bn:02436646n,bn:01522101n,bn:00059961n,bn:00059960n,bn:15626048n,bn:16014759n,bn:14343647n,bn:15412022n,bn:14265994n,bn:00013829n
terrier	bn:03313369n,bn:03667079n,bn:00076619n
raccoon	bn:00021155n,bn:00065797n,bn:00065796n,bn:02823747n
the animal	bn:02276164n,bn:01326485n,bn:14206337n
mare	bn:03697828n,bn:00053382n,bn:00031345n,bn:00979770n,bn:02244115n,bn:14648059n,bn:03212649n,bn:00034022n,bn:01090029n
baby	bn:01929864n,bn:02774368n,bn:16878131n,bn:15251328n,bn:03326107n,bn:02427184n,bn:00007631n,bn:15026191n,bn:15608097n,bn:00007645n,bn:03892186n,bn:01665775n,bn:00135769n,bn:00010607n,bn:17129836n,bn:00007646n,bn:01258812n,bn:15357116n,bn:00007648n,bn:15828028n,bn:01433805n,bn:17075200n,bn:01463526n,bn:01067062n,bn:14160982n,bn:02616935n,bn:01161075n,bn:02600805n,bn:16169453n,bn:14439721n,bn:01587648n,bn:03118338n,bn:00477559n,bn:00007630n,bn:00007647n,bn:01872512n,bn:00461588n,bn:15436959n,bn:03855615n,bn:00007649n,bn:14825642n,bn:15661543n
kate winslet	bn:03319279n
crowe	bn:03049165n
william hurt	bn:00924928n
ewan mcgregor	bn:01236694n
pitt	bn:00040210n,bn:00034769n,bn:00062675n,bn:02784201n
jennifer aniston	bn:03125367n
martin sheen	bn:03536098n
sandra bullock	bn:02308413n
hopkins	bn:00044749n,bn:00880200n,bn:00044748n,bn:00303970n,bn:00004561n,bn:03138838n,bn:00341965n,bn:00040274n,bn:00044750n,bn:00380461n
john travolta	bn:03339496n
streep	bn:00054480n
steven spielberg	bn:00073348n
winfrey	bn:16255339n
witherspoon	bn:01533601n,bn:00048362n
john hurt	bn:00880918n
robert de niro	bn:00025488n
henry fonda	bn:00035641n
streisand	bn:00008549n,bn:15947435n
jim carrey	bn:03753167n
peter fonda	bn:00955508n
hurt	bn:00045285n,bn:15828319n,bn:01931428n,bn:00027786n,bn:00355832n,bn:03493582n,bn:01366458n,bn:02756087n,bn:02287820n,bn:00581251n,bn:00025082n,bn:00043011n,bn:00060182n,bn:01560468n,bn:00026669n,bn:03201844n,bn:15759518n,bn:10689395n
tom hanks	bn:00042873n,bn:00936679n
penn	bn:00240249n,bn:02470954n,bn:01912345n,bn:03612607n,bn:00061377n,bn:00061376n,bn:00540858n
robin williams	bn:14004337n,bn:03302124n,bn:16098115n,bn:03345215n,bn:16523303n,bn:13970759n,bn:03327362n
oprah winfrey	bn:01311676n
beatty	bn:00405070n,bn:03721648n,bn:00214931n,bn:01279627n
john wayne	bn:00029081n,bn:03794887n,bn:13842337n
ben affleck	bn:00834110n
angelina jolie	bn:03393928n
de niro	bn:15084843n,bn:00025488n
charlie sheen	bn:02141724n,bn:01019754n
helen mirren	bn:01618497n
